gridsize
545
100	-1316.8636146512406
110	-930.0411966549469
120	-697.3005462634957
130	-545.955732781342
140	-441.4793316709311
150	-365.8903993726642
160	-309.10872010657084
170	-265.1327330520254
180	-230.20635825206983
190	-201.87815317436016
200	-178.49008352704047
210	-158.88587438395098
220	-142.2374944682625
230	-127.93808197943085
240	-115.53371850837233
250	-104.67870767857572
260	-95.10551329323363
270	-86.60409139862374
280	-79.00739017420238
290	-72.18098926370244
300	-66.01557298842249
310	-60.42137905282118
320	-55.32404729697935
330	-50.66147581204261
340	-46.381412037766005
350	-42.43958704380645
360	-38.79825604594495
370	-35.42504610336135
380	-32.29203848845729
390	-29.37503205637159
400	-26.652947467830263
410	-24.107341942613598
420	-21.722011430215606
430	-19.482662428031514
440	-17.37663967485626
450	-15.39269896418123
460	-13.520816617158193
470	-11.752028915415819
480	-10.078296153690172
490	-8.492387029997749
500	-6.987779919604209
510	-5.5585782316958925
520	-4.19943756529443
530	-2.9055027935896383
540	-1.6723535364980249
550	-0.4959567479391439
560	0.6273746398243717
570	1.7010178969930378
580	2.728072240617857
590	3.711386763281106
600	4.653585069730427
610	5.557087064536273
620	6.424128267232792
630	7.25677697564399
640	8.05694955146901
650	8.826424063110371
660	9.566852487775492
670	10.279771646940352
680	10.966613025793572
690	11.62871160701449
700	12.26731383229799
710	12.883584790320732
720	13.478614717244664
730	14.053424885216133
740	14.608972944890438
750	15.14615778008216
760	15.665823925626674
770	16.168765593597882
780	16.655730347683924
790	17.127422461094664
800	17.58450598918628
810	18.027607584806052
820	18.45731908093277
830	18.87419986284104
840	19.27877904942509
850	19.671557501392158
860	20.053009672060945
870	20.42358531497424
880	20.78371106110701
890	21.133791877034987
900	21.474212414462563
910	21.805338260436123
920	22.12751709658089
930	22.441079775040077
940	22.74634131799133
950	23.043601846976678
960	23.333147447726468
970	23.615250975629213
980	23.890172806547085
990	24.158161537244876
1000	24.41945463931046
1010	24.67427907014349
1020	24.922851844246107
1030	25.165380567811226
1040	25.40206393927656
1050	25.633092218398875
1060	25.85864766607943
1070	26.078904957090042
1080	26.29403156756714
1090	26.504188139110838
1100	26.709528821076695
[-1316.8636146512406, -930.0411966549469, -697.3005462634957, -545.955732781342, -441.4793316709311, -365.8903993726642, -309.10872010657084, -265.1327330520254, -230.20635825206983, -201.87815317436016, -178.49008352704047, -158.88587438395098, -142.2374944682625, -127.93808197943085, -115.53371850837233, -104.67870767857572, -95.10551329323363, -86.60409139862374, -79.00739017420238, -72.18098926370244, -66.01557298842249, -60.42137905282118, -55.32404729697935, -50.66147581204261, -46.381412037766005, -42.43958704380645, -38.79825604594495, -35.42504610336135, -32.29203848845729, -29.37503205637159, -26.652947467830263, -24.107341942613598, -21.722011430215606, -19.482662428031514, -17.37663967485626, -15.39269896418123, -13.520816617158193, -11.752028915415819, -10.078296153690172, -8.492387029997749, -6.987779919604209, -5.5585782316958925, -4.19943756529443, -2.9055027935896383, -1.6723535364980249, -0.4959567479391439, 0.6273746398243717, 1.7010178969930378, 2.728072240617857, 3.711386763281106, 4.653585069730427, 5.557087064536273, 6.424128267232792, 7.25677697564399, 8.05694955146901, 8.826424063110371, 9.566852487775492, 10.279771646940352, 10.966613025793572, 11.62871160701449, 12.26731383229799, 12.883584790320732, 13.478614717244664, 14.053424885216133, 14.608972944890438, 15.14615778008216, 15.665823925626674, 16.168765593597882, 16.655730347683924, 17.127422461094664, 17.58450598918628, 18.027607584806052, 18.45731908093277, 18.87419986284104, 19.27877904942509, 19.671557501392158, 20.053009672060945, 20.42358531497424, 20.78371106110701, 21.133791877034987, 21.474212414462563, 21.805338260436123, 22.12751709658089, 22.441079775040077, 22.74634131799133, 23.043601846976678, 23.333147447726468, 23.615250975629213, 23.890172806547085, 24.158161537244876, 24.41945463931046, 24.67427907014349, 24.922851844246107, 25.165380567811226, 25.40206393927656, 25.633092218398875, 25.85864766607943, 26.078904957090042, 26.29403156756714, 26.504188139110838, 26.709528821076695]
